acteurs,annee_production,date,description,distributeur,duree,film_id_allocine,genre,image,langue_d_origine,nationalites,realisateur,titre,type_film
Inconnu,2023,2023-08-10,,Pathé Live,124,317043,Concert,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/10/18/23/4252580.jpg,Coréen,Corée,Jae-kyung Lim,Mamamoo : My Con The Movie,Evénement spécial
"Stina Ekblad,Erland Josephson,Philip Zanden",1986,2023-08-09,"Alors que le carnaval de Venise bat son plein, un couple de Suédois se rend à l’hôpital psychiatrique. La femme est sujette à de violentes crises et réclame son « enfant », un manuscrit que son mari garde précieusement. Il s’agit de l’écrivaine Agnes von Krusenstjerna et de son époux David Spengel, avec lequel elle entretient depuis des années une relation tumultueuse. Dans son dernier livre, la jeune femme a voulu régler ses comptes avec sa famille et le milieu aristocratique dont elle est issue…",Carlotta Films,117,279502,Biopic_Drame,https://fr.web.img4.acsta.net/c_310_420/pictures/23/08/07/17/05/0542312.jpg,Suédois,Suède,Mai Zetterling,Amorosa,Long-métrage
"Lio Mehiel,Cole Doman,MiMi Ryder",2023,2023-08-09,"Feña est un jeune homme trans qui mène une existence trépidante à New York. Au cours d’une seule journée, son père chilien, son ex-petit ami et sa demi-sœur de 13 ans refont surface dans sa vie. Ayant perdu le contact avec eux depuis sa transition, Feña va devoir réinventer ces anciennes relations, tout en gérant les défis quotidiens liés à sa nouvelle identité.",Dulac Distribution,82,311182,Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/11/17/07/4869405.jpg,Anglais,U.S.A.,Vuk Lungulov-Klotz,24 heures à New-York,Long-métrage
"Bibi Andersson,Harriet Andersson,Gunnel Lindblom",1968,1969-06-06,"Trois comédiennes, Liz, Marianne et Gunilla, partent en tournée pour jouer Lysistrata d’Aristophane. Presque deux mille ans séparent l’écriture de cette pièce de sa représentation en Suède. Pourtant, les trois interprètes trouvent en leurs personnages des échos troublants à leur propre vie…",Carlotta Films,100,1545,Comédie dramatique,https://fr.web.img2.acsta.net/c_310_420/pictures/23/08/07/17/05/4174014.jpg,Suédois,Suède,Mai Zetterling,Les Filles,Long-métrage
"Adam Sandler,Emily Watson,Philip Seymour Hoffman",2002,2003-01-22,"Barry, un entrepreneur étouffé depuis tout petit par ses sept sœurs, sent un souffle nouveau lorsque la collègue d'une d'entre elles, Lena, vient à sa rencontre. Mais, au même moment, une call-girl, qu’il avait appelée pour essayer d’échapper à sa solitude, le piège. Pour la première fois, il va prendre sa vie en main.",Ciné Sorbonne,95,32282,Comédie_Romance,https://fr.web.img6.acsta.net/c_310_420/pictures/23/08/01/10/45/2012236.jpg,Anglais,U.S.A.,Paul Thomas Anderson,Punch-Drunk Love,Long-métrage
"Jacques Villeret,Jean-Pierre Bacri,Pauline Lafont",1987,1987-04-29,,Mission,96,2551,Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/10/09/09/4291155.jpg,Français,France,Gérard Krawczyk,L'Eté en pente douce,Long-métrage
"Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou",2023,2023-08-09,"Itto, jeune marocaine d’origine modeste, s’est adaptée à l’opulence de la famille de son mari, chez qui elle vit. Alors qu’elle se réjouissait d’une journée de tranquillité sans sa belle-famille, des événements surnaturels plongent le pays dans l’état d’urgence. Des phénomènes de plus en plus inquiétants suggèrent qu’une présence mystérieuse approche. Seule, elle peine à trouver de l'aide…",Ad Vitam,90,311078,Drame_Fantastique,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/05/15/09/1350147.jpg,Arabe,France,Sofia Alaoui,Animalia,Long-métrage
"Timothy Spall,Emun Elliott,Ella Rumpf",2023,2023-08-09,"Sarah est une femme d’affaire basée à Londres qui souffre d’une peur incontrôlable de l’avion. Pour sauver sa nouvelle relation amoureuse, elle doit surmonter sa phobie et apprendre à lâcher prise – quitte à endurer un vol inattendu et follement imprévisible vers l’Islande…",Rezo Films,97,300966,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/23/12/26/4600228.jpg,Anglais,Islande,Hafsteinn Gunnar Sigurðsson,Zone(s) de turbulence,Long-métrage
"Vincent Macaigne,Bouli Lanners,Bastien Ughetto",2023,2023-08-09,"Propriétaire d’une galerie d’art, Arthur Forestier représente Renzo Nervi, un peintre en pleine crise existentielle. Les deux hommes sont amis depuis toujours et, même si tout les oppose, l’amour de l’art les réunit. En panne d’inspiration depuis plusieurs années, Renzo sombre peu à peu dans une radicalité qui le rend ingérable. Pour le sauver, Arthur élabore un plan audacieux qui finira par les dépasser... Jusqu’où peut-on aller par amitié ?",Zinc Film,95,305181,Comédie dramatique,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/13/09/38/4520212.jpg,Français,France,Rémi Bezançon,Un coup de maître,Long-métrage
"Pierfrancesco Favino,Kelly Reilly,Jean Reno",2021,2023-08-09,"La vie, en général, n’en finit pas de faire des promesses qu’elle prend plaisir, ensuite, à ne pas tenir. L’histoire d’amour inachevée entre Alexander et Laura …",Madeleine films,114,291501,Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/13/17/10/3315486.jpg,Anglais,France,Amanda Sthers,Les Promesses,Long-métrage
" Artus,Elsa Zylberstein,Benjamin Tranié",2023,2023-08-09,"Sébastien, contrôleur de train consciencieux et professionnel, rêve d’être muté dans le sud de la France.",UGC Distribution / TF1 Studio,89,306157,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/27/15/10/4186702.jpg,Français,France,Olivier Van Hoofstadt,Veuillez nous excuser pour la gêne occasionnée,Long-métrage
" Rajinikanth, Mohanlal,Jackie Shroff",2023,2023-08-10,Muthuvel Pandian est un geôlier strict mais empathique qui apprend qu'un gang tente de faire évader son chef de la prison. Il se met alors en tête de les arrêter.,Friday Entertainment,170,318073,Action_Comédie_Policier_Thriller,https://fr.web.img3.acsta.net/c_310_420/pictures/23/08/02/14/29/0652917.jpg,Tamoul,Inde,Nelson Dilipkumar,Jailer,Long-métrage
"Suzanne Jouannet,Marie Colomb,Maud Wyler",2023,2023-08-09,"Sophie est une lycéenne brillante. Encouragée par son professeur de mathématiques, elle quitte la ferme familiale pour suivre une classe préparatoire scientifique. Au fil de rencontres, de succès et d’échecs, face à une compétition acharnée, Sophie réalise que son rêve, intégrer Polytechnique, représente plus qu’un concours... un vrai défi d’ascension sociale.",Pyramide Distribution,107,295616,Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/11/16/38/5245264.jpg,Français,France,Frédéric Mermoud,La Voie Royale,Long-métrage
"Luis Tosar,Pilar Castro,Ernesto Alterio",2019,2023-08-09,"Helga, éditrice madrilène, vient de faire interner son mari en clinique psychiatrique. Dans le train du retour, elle fait la connaissance du Dr Angel Sanagustín qui lui fait part de ses expériences les plus fascinantes, sordides et obsédantes. Cette rencontre bouleverse Helga et la plonge dans une profonde introspection. Et ce sont bien là quelques-uns des avantages de voyager en train.",Damned Distribution,103,264855,Comédie_Drame,https://fr.web.img4.acsta.net/c_310_420/pictures/23/05/04/12/13/1664813.jpg,Espagnol,Espagne,Aritz Moreno,Les Avantages de voyager en train,Long-métrage
"Aloïs Agaësse-Mahieu,Micah Abbey,Kylian Trouillard",2023,2023-08-09,"Après des années passées loin du monde des humains, les frères Tortues entreprennent de gagner le cœur des New-Yorkais et d'être acceptés comme des adolescents normaux grâce à des actes héroïques. Leur nouvelle amie April O'Neil les aide à s'attaquer à un mystérieux syndicat du crime mais ils se retrouvent dépassés par les événements lorsqu'une armée de mutants se déploie contre eux.",Paramount Pictures France,99,284995,Action_Animation_Aventure,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/28/10/49/2274361.jpg,Anglais,U.S.A.,Jeff Rowe,Ninja Turtles: Teenage Years,Long-métrage
