titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
La Maison des égarées,05/07/2023,4640,3111,304103
L'Odyssée de Pi,26/12/2012,426112,525187,54343
Un tour chez ma fille,23/06/2021,146389,108672,273138
Apaches,05/04/2023,33659,10567,295614
Persepolis,04/07/2007,289036,236503,110204
Fast & Furious X,24/05/2023,1140846,514473,242871
Fumer fait tousser,07/12/2022,87446,40915,296128
Le Challenge,28/06/2023,54361,46613,297253
Les Damnés ne pleurent pas,02/08/2023,4569,,306744
Paula,26/07/2023,1662,753,281969
Les Trois Mousquetaires: D'Artagnan,12/04/2023,1007159,731484,288402
X - Le film,09/11/2022,31224,12023,287667
De nos jours...,26/07/2023,5225,2663,315404
Magnificat,28/06/2023,30964,26588,291709
Les Chevaliers du Zodiaque,31/05/2023,41841,12800,270739
Un hiver en été,02/08/2023,1634,,284499
Mission: Impossible - Rogue Nation,19/08/2015,1233768,646680,201105
L'Île rouge,07/06/2023,55090,35067,281831
The Fabelmans,01/03/2023,367332,202193,255726
Le Croque-mitaine,07/06/2023,101134,79115,265750
Sauver ou périr,05/12/2018,338929,210053,256559
Jeanne du Barry,17/05/2023,45029,356152,288952
Orgueil et préjugés,25/01/2006,167705,112825,59068
La Sirène,05/07/2023,3933,1379,268349
Juniors,02/08/2023,6943,,291283
Chien de la casse,26/04/2023,20877,14016,279636
Les Petites victoires,08/03/2023,250360,195693,295765
Pourris gâtés,22/09/2021,148506,102160,277208
Astérix et Obélix : L'Empire du milieu,08/02/2023,1882686,1009899,260600
Rheingold,05/07/2023,11672,2698,290530
Tirailleurs,11/01/2023,456751,281155,289236
Pop Redemption,05/06/2013,1599,56964,213538
En eaux troubles,29/08/2018,710798,372024,58275
Un talent en or massif,27/04/2022,57763,17799,279093
Je verrai toujours vos visages,05/04/2023,282292,194589,299938
Les Déguns,19/09/2018,200357,123638,266418
Luise,12/07/2023,1215,422,262386
Tout le monde aime Jeanne,14/09/2022,63691,36907,290442
Vaincre ou mourir,14/12/2022,23152,83814,302772
38°5 quai des orfèvres,28/06/2023,45576,25679,299767
Interstellar,12/11/2014,1071360,572034,114782
Avatar : la voie de l'eau,21/12/2022,2739848,3010310,178014
Le Parfum vert,28/12/2022,80190,64259,288261
Fifi,21/06/2023,17284,10002,288420
Entre nous,26/07/2023,23,,302753
Sur les chemins noirs,29/03/2023,438142,254985,295626
The Covenant,24/04/2023,6380188,3615081,297981
Memento,12/05/2001,1200000,1200000,25744
Deux Moi,18/09/2019,238161,171486,268136
"Super Mario Bros, le film",12/04/2023,1866914,1536566,234099
Aviator,02/02/2005,640883,394455,48371
SISU - De l'Or et du Sang,28/06/2023,44625,25000,293633
Joy Ride,12/07/2023,9258,772,294620
Des mains en or,14/06/2023,109081,67275,304344
"Cléo, Melvil et moi",12/07/2023,1849,352,312085
Petit Jésus,19/07/2023,13176,4960,304159
Love Life,21/06/2023,34071,21218,291119
Sabotage,02/08/2023,12617,,306923
Transformers: Rise Of The Beasts,14/06/2023,451052,227256,241065
Il Boemo,28/06/2023,34803,28659,306841
Sur la branche,02/08/2023,36931,,302134
"Chonchon, le plus mignon des cochons",05/07/2023,6286,4189,299549
L'Amour et les Forêts,31/05/2023,220327,139160,301066
Yo Mama,12/07/2023,78717,42432,304854
Les Gardiens de la Galaxie 3,10/05/2023,1323124,705970,246641
Master Gardener,12/07/2023,20443,8981,296091
Moka,24/08/2016,85331,55822,240698
Mission Impossible - Fallout,08/08/2018,1169669,695528,238132
La Petite sirène,31/05/2023,582814,336931,247753
Les Meutes,26/07/2023,15089,7525,281970
Les Ombres persanes,26/07/2023,16175,11205,306921
Une belle équipe,22/01/2020,152569,97373,261592
Renfield,07/06/2023,25984,9824,279245
M3GAN,04/01/2023,218120,126143,266320
Le Chat Potté 2 : la dernière quête,14/12/2022,502167,449631,228395
Les tribulations d'une caissière,21/12/2011,60117,14285,187293
Tinnitus,12/07/2023,174,29,269970
Knock at the Cabin,08/02/2023,109685,62522,277362
Time Out,30/11/2011,441450,266770,180314
La Vie pour de vrai,26/04/2023,423667,196249,297442
