titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
Anatomy of Time,04/05/2022,,118.0,Jakrawal Nilthamrong, Damned Distribution ,"Thaveeratana Leelanuja,Prapamonton Eiamchan,Sorabodee Changsiri",Wela,"Thaïlande,France,Pays-Bas,Singapour",Thaï,Long-métrage,2021,-,"3,1","3,5",12 articles de presse,3 nominations,"Deux fragments de la vie d'une femme. Maem est une jeune femme dans la Thaïlande rurale des années 1960. Son père horloger transmet sa passion à sa fille, tandis que les tensions entre la dictature militaire et les rebelles communistes s'exacerbent. Elle est courtisée par deux jeunes hommes très différents - un faible conducteur de pousse-pousse qui est littéralement mis de côté par un chef d'armée ambitieux et impitoyable. Cinquante ans plus tard, le chef de l'armée est devenu un général en disgrâce. Maem soigne son mari violent pendant ses derniers jours et se remémore son passé rempli de pertes, de souffrances et de joies.",250
Luzzu,05/01/2022,,94.0,Alex Camilleri, Epicentre Films ,"Jesmark Scicluna,Michela Farrugia,David Scicluna",,,"Anglais, Autre",Long-métrage,2021,-,"3,1","3,4",13 articles de presse,,"De générations en générations la famille de Jesmark pêche à bord du Luzzu, bateau en bois traditionnel maltais. Mais Jesmark voit son avenir menacé par la raréfaction des récoltes et l’ascension d’une pêche industrielle impitoyable. Pour subvenir aux besoins de sa femme et de son fils, le jeune homme va peu à peu se compromettre dans le marché noir de la pêche.",50
Jeunesse en sursis,14/09/2022,Romance,122.0,Kateryna Gornostai, Wayna Pitch ,"Maria Fedorchenko,Arsenii Markov,Yana Isaienko",Stop-Zemlia,,ukrainien,Long-métrage,2021,-,"3,3","2,7",9 articles de presse,,"Masha effectue sa dernière année de lycée. Elle traîne le plus souvent avec deux amis aussi anti-conformistes qu'elle, et tombe amoureuse d'une manière qui la force à sortir de sa zone de confort. Une histoire universelle sur la jeunesse ukrainienne qui trouve une résonance particulière dans le contexte actuel.",314
Nudo mixteco : trois destins de femmes,08/12/2021,,91.0,Ángeles Cruz, Bobine Films ,"Sonia Couoh,Noé Hernandez,Myriam Bravo",Nudo mixteco,,Espagnol,Long-métrage,2021,-,"3,4","3,1",7 articles de presse,,"Trois histoires s’entrecroisent à la fête patronale de San Mateo, village mixtèque de la région d’Oaxaca, trois femmes font le choix de l’émancipation. Maria, revenue au village pour enterrer sa mère, renoue avec Piedad, son amour de jeunesse. Chabela fait face au retour d’Esteban, son ancien époux, furieux de voir qu’elle a refait sa vie sans lui. Toña revit un traumatisme lié à son enfance qu’elle décide de ne plus taire. À leur manière, ces trois femmes vont tenter de s’affranchir des pratiques patriarcales et des traditions dans une société mexicaine en pleine mutation.",69
Anatolia,08/06/2022,,85.0,Ferit Karahan, Moonlight Films Distribution ,"Samet Yıldız,Ekin Koç,Mahir İpek",Okul Tıraşı,"Turquie,Roumanie","Turc, Kurde",Long-métrage,2021,-,"3,4","3,6",7 articles de presse,,"Yusuf et son meilleur ami Memo sont élèves dans un pensionnat pour garçons kurdes, isolé dans les montagnes de l'Anatolie orientale. Lorsque Memo tombe mystérieusement malade, Yusuf est contraint de surmonter les obstacles bureaucratiques dressés par la direction autoritaire et répressive de l'école pour tenter d'aider son ami. Mais, au moment où les adultes comprennent enfin la gravité de l'état de Memo et essaient de l'emmener à l'hôpital, l'école a été ensevelie sous une tempête de neige. Coincés, dans l'impossibilité d'obtenir de l'aide, les enseignants et les élèves se rejettent la balle. Rancunes, sentiments de culpabilité et secrets cachés émergent, alors que le temps passe inexorablement et menace d'emporter Memo.",926
Employé / patron,06/04/2022,Thriller,106.0,Manuel Nieto Zas, Eurozoom ,"Nahuel Perez Biscayart,Cristian Borges,Justina Bustos",El Empleado Y El Patron,"Uruguay,Argentine,Brésil,France",Espagnol,Long-métrage,2021,-,"3,3","3,2",12 articles de presse,,"Un petit patron agricole, préoccupé par la santé de son bébé, tente de conjuguer sa vie personnelle à son travail chronophage. Pour son exploitation de soja, il recrute un jeune homme de 18 ans qui a un besoin urgent de gagner de l’argent pour subvenir aux besoins de sa famille, récemment agrandie. Un jour un terrible évènement advient sur la plantation.",5 472
Le Roi du monde,23/11/2022,Musical,95.0,Carlos Saura, Eurozoom ,"Ana de la Reguera,Manuel Garcia-Rulfo,Isaac Hernández",El rey de todo el mundo,"Espagne,Mexique",Espagnol,Long-métrage,2021,-,"3,0","3,3",3 articles de presse,,"Manuel prépare son nouveau spectacle, une comédie musicale méta. Il cherche de l’aide auprès de Sara, son ex-compagne, chorégraphe de renom. Au casting, une jeune étoile montante, Ines, en proie à des problèmes avec son père et la mafia locale. Pendant les répétitions, la passion et la tension montent entre les danseurs. La puissante musique mexicaine rythme cette oeuvre où tragédie, fiction et réalité s’entrecroisent.",1 140
To Kill the Beast,13/07/2022,"Thriller,Fantastique",80.0,Agustina San Martín, Jour2fête ,"Tamara Rocca,Ana Brun,João Miguel",Matar a la Bestia,"Brésil,Argentine,Chili","Portugais, Espagnol",Long-métrage,2021,-,"3,1","1,9",12 articles de presse,,"A la frontière de l’Argentine et du Brésil, Emilia, 17 ans, recherche ardemment son frère disparu. Son périple la mène dans l’hôtel de sa tante au coeur de la jungle tropicale, hanté par une bête monstrueuse, qui, selon les mythes et croyances locales, serait l’incarnation protéiforme d’un esprit diabolique. Entre réalité et mythe, culpabilité et éveil de sa sexualité, Emilia va devoir affronter son passé.",593
Le Pied nickelé,08/06/2022,,98.0,Jean-Loup Martin, Panoceanic Films ,"René Collombat,Serge Papagalli,Louise Cor",,,Français,Long-métrage,2021,-,"2,6",,,,"2021. Gabriel se réveille après un coma de trente-cinq ans. Il a hérité de la fortune des Pieds Nickelés, trio célèbre d'arnaqueurs. Pour la mériter, Gabriel qui découvre les réseaux sociaux et le smartphone, doit retrouver leurs trois paires de chaussures. S'ensuit un périple fait de rencontres de personnages se comportant comme de véritables pieds nickelés.",17
The Beta Test,15/12/2021,,91.0,Jim Cummings (II), New Story ,"Jim Cummings (II),Virginia Newcomb,PJ McCabe",,"U.S.A.,Grande-Bretagne",Anglais,Long-métrage,2021,-,"3,1","2,4",21 articles de presse,,"Jordan Hines, un agent hollywoodien à succès sur le point de se marier, reçoit une lettre anonyme l'invitant à un mystérieux rendez-vous sexuel...",4 057
L'Esprit sacré,06/07/2022,"Comédie,Drame",97.0,Chema Garcia Ibarra, La Fabrica Nocturna Cinéma ,"Nacho Fernández,Llum Arques,Joanna Valverde",Espíritu sagrado,"Espagne,France,Turquie",Espagnol,Long-métrage,2021,-,"3,2","3,1",15 articles de presse,,"Julio est mort. C’est une terrible nouvelle pour « Ovni-Levante », l’association de passionnés d’ufologie qu’il présidait. José Manuel, un de ses membres, est particulièrement touché par le décès : Julio et lui avaient un projet secret qui devait changer le destin de l’humanité. Il devra maintenant le mener à bien en solitaire.",774
Belladones,16/03/2022,,80.0,Sophie Tavert Macian, Cinéma Saint-André des Arts ,"Malina Ioana-Ferrante,Julie Tavert,Lorine Wolff",,,Français,Long-métrage,2021,-,"2,8",,1 Critique Spectateur,,"Mili pleure. Baza angoisse. Mado encaisse. Séparées par le premier confinement de 2020 et en proie à la crise, les trois amies se retrouvent le temps d'un week-end, pour honorer la mémoire de Viviane, la tante de Mili, décédée du Covid 19. Ce qui devait n'être qu'une escapade se révèle être un virage radical pour chacune d'entre elles.",49
La Fraude,13/04/2022,,83.0,Jean-Louis Cros, Cinéma Saint-André des Arts ,"Didier Moreira,Romain Torres,Sabine d’Halluin",,,Français,Long-métrage,2021,-,"3,0",,4 Critiques Spectateurs,,"1968 : dans la pension où il coule des jours paisibles, un vieil abbé artiste peintre et jeune d’esprit malgré son âge, reçoit une lettre qui aurait dû lui parvenir 30 ans plus tôt. Ses souvenirs se réveillent alors... Curé débutant à Paris dans les années 1920 et frappé par l’ignorance d’une jeune fille en matière de sexualité, il a tenté de lui éviter l’enfer conjugal dans lequel beaucoup de ses semblables étaient plongées. Mais ses velléités éducatives se sont vite réduites à ressasser un dogme indépassable pour son église : « Le liquide fructifiant ne doit pas être détourné du vase féminin, tout le reste est fraude. » 30 ans plus tard, la culpabilité, l’asservissement et finalement l’issue fatale auxquels il a condamné sa jeune paroissienne, lui reviennent en pleine face.",57
Cérémonie secrète,01/06/2022,Fantastique,80.0,Tatiana Becquet-Genel, 8½ Distribution ,"Michel Bouquet,Kasia Wolf,Valérie Moinet",,,Français,Long-métrage,2021,-,"3,5","2,3",4 articles de presse,,"Rachel, la trentaine, est avocate. Fille adoptive d'une grande famille de magistrats dominée par Maxime, impitoyable et étrange procureur. Malgré cette atmosphère familiale pesante, elle n'a pas quitté le monde de l'insouciance. Elle s'affranchit en s'abandonnant à d'étranges rêveries, entremêlées de fantasmes et de cauchemars qui la conduisent à s'émanciper de son milieu. La réalité d'une affaire va heurter sa vie : Anna, sa cliente s'est suicidée en prison. Devant le cercueil de cette femme, tout lui revient, le parloir, la scène du crime, le récit d'une vie malmenée. Enfants, elles habitaient dans le même village. Comme dans un conte, la grille d'un château les séparait. L'une était une petite fille pauvre, l'autre une petite fille riche. Commence alors pour Rachel un voyage intérieur, où se confrontent une lutte des classes impitoyable, une émancipaton sociale et sexuelle difficile. La vérité sur la relaton entre l'avocate et la prévenue se dévoile et contraint Rachel à faire face à ses obsessions, à son homosexualité refoulée, à ses choix hasardeux et à la cruelle réalité. Sous la forme d'un conte, c'est une réfexion sur une société en perte de repères et en conflit que tous ces personnages nous montrent.",17
American Underdog,,,112.0,Andrew Erwin,,"Zachary Levi,Anna Paquin,Dennis Quaid",,,Anglais,Long-métrage,2021,-,,,,,,6 200 000
No Man’s Land,,"Aventure,Thriller",115.0,Conor Allyn,,"Jake Allyn,Frank Grillo,Jorge A. Jimenez",,,"Anglais, Espagnol",Long-métrage,2021,-,,,,,"Non loin de la frontière américano-mexicaine sur le Rio Grande, l'existence d'un père et de son fils, éleveurs texans, est bouleversée quand le jeune garçon tue accidentellement un immigré. Le père s'accuse du crime auprès des policiers mais son fils, Jackson, s’enfuit à cheval pour le Mexique afin de demander pardon auprès du père du garçon décédé.",58 969
Evolution,,,,Nick Hamm,,"Marcia Gay Harden,Charlie Rowe,Josephine Langford",,,Anglais,Long-métrage,2021,-,,,,,"Inspiré d'une histoire vraie. Un accident sur le lac laisse Nate tétraplégique. Claire, sa mère résiliente, met sa carrière artistique entre parenthèses et risque même son mariage pour protéger l'avenir de son fils. Elle découvre que la seule chose qui peut faire une différence profonde dans les progrès de son fils est de lui fournir un ami animal improbable qui aide le jeune homme à réaliser que sa vie vaut encore la peine d'être vécue.",6 943
Last Call,,,102.0,Paolo Pilladi,,"Jeremy Piven,Taryn Manning,Bruce Dern",,,Anglais,Long-métrage,2021,-,,,,,"Le promoteur immobilier Mick retourne à Philadelphie car son infâme patron souhaite embourgeoiser le quartier de son enfance. Mick renoue le contact avec son père, son frère, ses copains ainsi qu'avec son premier amour. Il doit choisir entre une promotion professionnelle ou sauver l'immeuble chargé de ses souvenirs.",29 610
Senior Moment,,Drame,92.0,Giorgio Serafini,,"William Shatner,Christopher Lloyd,Katrina Bowden",,,Anglais,Long-métrage,2021,-,,,,,Un pilote de la Top Gun Navy à la retraite a pour habitude de parader au volant de son bolide avec son meilleur ami. Mais il se voit retirer son permis suite à une mesure visant à empêcher les conducteurs âgés de conduire.,16 543
Ailleurs si j'y suis,29/03/2023,,103.0,François Pirot, UFO Distribution ,"Jérémie Renier,Suzanne Clément,Jean-Luc Bideau",,"Belgique,Luxembourg,Suisse,France",Français,Long-métrage,2022,-,"3,1","2,9",16 articles de presse,,"Alors que sa famille et son métier le mettent sous pression, Mathieu, sur un coup de tête, s’enfonce dans la forêt devant chez lui. Et y reste. Face à cette démonstration de liberté, ses proches s’interrogent… Sur lui, sur eux-mêmes, sur le sens de leur vie… Et s’il avait raison ?",10 680
Plus que jamais,16/11/2022,,123.0,Emily Atef, Jour2fête ,"Vicky Krieps,Gaspard Ulliel,Bjorn Floberg",,"France,Allemagne,Luxembourg,Norvège","Français, Anglais, Norvégien",Long-métrage,2022,5 M€,"3,7","3,6",26 articles de presse,6 nominations,"Hélène et Mathieu sont heureux ensemble depuis de nombreuses années. Le lien qui les unit est profond. Confrontée à une décision existentielle, Hélène part seule en Norvège pour chercher la paix et éprouver la force de leur amour.",21 203
Black Panther: Wakanda Forever,09/11/2022,"Aventure,Fantastique",162.0,Ryan Coogler, The Walt Disney Company France ,"Letitia Wright,Angela Bassett,Danai Gurira",,,Anglais,Long-métrage,2022,-,"2,9","3,1",33 articles de presse,2 prix et 6 nominations,"La Reine Ramonda, Shuri, M’Baku, Okoye et les Dora Milaje luttent pour protéger leur nation des ingérences d’autres puissances mondiales après la mort du roi T’Challa. Alors que le peuple s’efforce d’aller de l’avant, nos héros vont devoir s’unir et compter sur l’aide de la mercenaire Nakia et d’Everett Ross pour faire entrer le royaume du Wakanda dans une nouvelle ère. Mais une terrible menace surgit d’un royaume caché au plus profond des océans : Talokan.",1 692 183
Marinaleda,05/07/2023,Fantastique,51.0,Louis Seguin, Hippocampe Productions ,"François Rivière (II),Luc Chessel,Pauline Belle",,,Français,Long-métrage,2022,-,"3,3","2,7",4 articles de presse,,"Juillet. Sastefanus et Kyrie font du stop sur les routes de Corrèze. Leur objectif : rejoindre Marinaleda, un village autogéré au cœur de l’Andalousie. Ils n’avancent pas beaucoup... jusqu’à ce que Lise les accueille dans sa voiture. Mais sont-ils vraiment de simples auto-stoppeurs ?",209
Le Lycéen,30/11/2022,,123.0,Christophe Honoré, Memento Distribution ,"Paul Kircher,Vincent Lacoste,Juliette Binoche",,,Français,Long-métrage,2022,-,"3,7","3,6",34 articles de presse,3 nominations,"Lucas a 17 ans quand soudain son adolescence vole en éclats. Avec l’aide de son frère, monté à Paris, et de sa mère, avec qui il vit désormais seul, il va devoir lutter pour apprendre à espérer et aimer de nouveau.",40 106
Les Cyclades,11/01/2023,,110.0,Marc Fitoussi, Memento Distribution ,"Laure Calamy,Olivia Côte,Kristin Scott Thomas",,"France,Belgique,Grèce","Français, Grec",Long-métrage,2022,"5,5 M€","3,1","3,3",26 articles de presse,,"Adolescentes, Blandine et Magalie étaient inséparables. Les années ont passé et elles se sont perdues de vue. Alors que leurs chemins se croisent de nouveau, elles décident de faire ensemble le voyage dont elles ont toujours rêvé. Direction la Grèce, son soleil, ses îles mais aussi ses galères car les deux anciennes meilleures amies ont désormais une approche très différente des vacances… et de la vie !",170 382
Tempête,21/12/2022,"Famille,Drame,Comédie",111.0,Christian Duguay, Pathé ,"Mélanie Laurent,Pio Marmaï,Kacey Mottet Klein",,,Français,Long-métrage,2022,12 M€,"3,0","3,9",17 articles de presse,,"Née dans le haras de ses parents, Zoé a grandi au milieu des chevaux et n’a qu’un rêve : devenir jockey ! Tempête, une pouliche qu’elle voit naître, va devenir son alter ego. Mais un soir d'orage, Tempête, affolée, renverse Zoé et vient briser son rêve. Elle va pourtant s’accrocher et tenter l'impossible pour renouer avec son destin.",227 057
Les Banshees d'Inisherin,28/12/2022,Comédie,114.0,Martin McDonagh, The Walt Disney Company France ,"Colin Farrell,Brendan Gleeson,Kerry Condon",The Banshees Of Inisherin,"Irlande,U.S.A.",Anglais,Long-métrage,2022,-,"3,8","3,9",31 articles de presse,10 prix et 21 nominations,"Sur Inisherin - une île isolée au large de la côte ouest de l'Irlande - deux compères de toujours, Padraic et Colm, se retrouvent dans une impasse lorsque Colm décide du jour au lendemain de mettre fin à leur amitié. Abasourdi, Padraic n’accepte pas la situation et tente par tous les moyens de recoller les morceaux, avec le soutien de sa sœur Siobhan et de Dominic, un jeune insulaire un peu dérangé. Mais les efforts répétés de Padraic ne font que renforcer la détermination de son ancien ami et lorsque Colm finit par poser un ultimatum désespéré, les événements s’enveniment et vont avoir de terribles conséquences.",99 482
Les Bad Guys,06/04/2022,"Comédie,Aventure,Famille",100.0,Pierre Perifel, Universal Pictures International France ,"Pierre Niney,Sam Rockwell,Igor Gotesman",The Bad Guys,,Anglais,Long-métrage,2022,-,"3,6","3,9",150 Critiques Spectateurs,,"LES BAD GUYS, la nouvelle comédie d’aventures de Dreamworks Animations, inspirée par la série éponyme de livres pour enfants à succès, met en scène une bande d’animaux, redoutables criminels de haut vol, qui sont sur le point de commettre leur méfait le plus éclatant : devenir des citoyens respectables.",259 472
Le Parfum vert,21/12/2022,Policier,101.0,Nicolas Pariser, Diaphana Distribution ,"Sandrine Kiberlain,Vincent Lacoste,Rüdiger Vogler",,,Français,Long-métrage,2022,7 M€,"3,5","2,3",32 articles de presse,,"En pleine représentation, un comédien de la Comédie-Française est assassiné par empoisonnement. Martin, membre de la troupe témoin direct de cet assassinat, est bientôt soupçonné par la police et pourchassé par la mystérieuse organisation qui a commandité le meurtre. Aidé par une dessinatrice de bandes dessinées, Claire, il cherchera à élucider ce mystère au cours d'un voyage très mouvementé en Europe.",80 190
Le Retour des hirondelles,08/02/2023,,133.0,Li Ruijun, ARP Sélection ,"Wu Renlin, Hai-Qing",Yin Ru Chen Yan,,Chinois,Long-métrage,2022,-,"4,1","4,2",24 articles de presse,9 nominations,"C’est l’histoire d’un mariage arrangé, entre deux êtres méprisés par leurs familles. Entre eux, la timidité fait place à l’affection. Autour d’eux, la vie rurale se désagrège…",24 402
Une belle course,21/09/2022,"Drame,Comédie",91.0,Christian Carion, Pathé ,"Line Renaud,Dany Boon,Alice Isaaz",,,Français,Long-métrage,2022,"7,94 M€","3,1","3,9",16 articles de presse,,"Madeleine, 92 ans, appelle un taxi pour rejoindre la maison de retraite où elle doit vivre désormais. Elle demande à Charles, un chauffeur un peu désabusé, de passer par les lieux qui ont compté dans sa vie, pour les revoir une dernière fois. Peu à peu, au détour des rues de Paris, surgit un passé hors du commun qui bouleverse Charles. Il y a des voyages en taxi qui peuvent changer une vie…",180 034
L'Origine du mal,05/10/2022,Thriller,125.0,Sébastien Marnier, The Jokers / Les Bookmakers ,"Laure Calamy,Doria Tillier,Dominique Blanc",,"France,Canada",Français,Long-métrage,2022,"3,5M€","3,5","3,6",28 articles de presse,,"Dans une luxueuse villa en bord de mer, une jeune femme modeste retrouve une étrange famille : un père inconnu et très riche, son épouse fantasque, sa fille, une femme d’affaires ambitieuse, une ado rebelle ainsi qu’une inquiétante servante.",56 107
Le Nouveau Jouet,19/10/2022,,112.0,James Huth, Sony Pictures Releasing France ,"Jamel Debbouze,Daniel Auteuil,Simon Faliu",,,Français,Long-métrage,2022,"12,5 M€","3,5","2,5",16 articles de presse,,"Sami vit heureux dans une cité de banlieue, entre ses amis, voisins et sa femme Alice. Pour l’anniversaire de son fils, l’homme le plus riche de France fait ouvrir le grand magasin qui lui appartient. Alexandre choisit Sami, le gardien de nuit, comme nouveau jouet...",271 139
Le Processus de paix,14/06/2023,Comédie dramatique,92.0,Ilan Klipper, Le Pacte ,"Camille Chamoux,Damien Bonnard,Ariane Ascaride",,,Français,Long-métrage,2022,-,"3,6","2,6",30 articles de presse,,"Quand on s’aime mais qu’on ne se supporte plus, qu’est-ce qu’on fait ?",34 918
Le Sixième enfant,28/09/2022,,92.0,Léopold Legrand, Pyramide Distribution ,"Sara Giraudeau,Benjamin Lavernhe,Judith Chemla",,,Français,Long-métrage,2022,"3,5 M€","3,8","3,9",27 articles de presse,5 prix et 6 nominations,"Franck, ferrailleur, et Meriem ont cinq enfants, un sixième en route, et de sérieux problèmes d’argent. Julien et Anna sont avocats et n’arrivent pas à avoir d’enfant. C’est l’histoire d’un impensable arrangement.",40 807
Les Rascals,11/01/2023,,105.0,Jimmy Laporal-Tresor, The Jokers / Les Bookmakers ,"Jonathan Feltre,Angelina Woreth,Missoum Slimani",,,Français,Long-métrage,2022,-,"3,4","3,2",26 articles de presse,,"Les Rascals, une bande de jeunes de banlieue, profite de la vie insouciante des années 80. Chez un disquaire, l’un d’eux reconnait un skin qui l’avait agressé et décide de se faire justice lui-même. Témoin de la scène, la jeune sœur du skin se rapproche d’un étudiant extrémiste qui lui promet de se venger des Rascals. Alors que l’extrême droite gagne du terrain dans tout le pays, la bande d’amis est prise dans un engrenage. C’est la fin de l’innocence…",22 510
Marlowe,15/02/2023,Policier,110.0,Neil Jordan, Metropolitan FilmExport ,"Liam Neeson,Diane Kruger,Jessica Lange",,"Irlande,U.S.A.",Anglais,Long-métrage,2022,-,"2,5","2,2",15 articles de presse,,,54 242
Retour à Séoul,25/01/2023,,119.0,Davy Chou, Les Films du Losange ,"Park Ji-min (II),Oh Kwang-rok,Guka Han",,"France,Allemagne,Belgique,Qatar","Coréen, Français, Anglais",Long-métrage,2022,-,"3,6","3,3",28 articles de presse,7 nominations,"Sur un coup de tête, Freddie, 25 ans, retourne pour la première fois en Corée du Sud, où elle est née. La jeune femme se lance avec fougue à la recherche de ses origines dans ce pays qui lui est étranger, faisant basculer sa vie dans des directions nouvelles et inattendues.",44 535
Caravage,28/12/2022,Historique,118.0,Michele Placido, Le Pacte ,"Riccardo Scamarcio,Louis Garrel,Isabelle Huppert",L'Ombra di Caravaggio,"Italie,France","Italien, Français",Long-métrage,2022,-,"3,1","3,4",17 articles de presse,,"Italie 1609. Accusé de meurtre, Le Caravage a fui Rome et s’est réfugié à Naples. Soutenu par la puissante famille Colonna, Le Caravage tente d’obtenir la grâce de l’Église pour revenir à Rome. Le Pape décide alors de faire mener par un inquisiteur, l’Ombre, une enquête sur le peintre dont l’art est jugé subversif et contraire à la morale de l’Église.",95 358
Unicorn Wars,28/12/2022,"Fantastique,Aventure",92.0,Alberto Vázquez (II), UFO Distribution ,Ramon Barea,,"Espagne,France",Espagnol,Long-métrage,2022,3 M€,"3,4","3,4",16 Critiques Spectateurs,,"En ces contrées reculées, Oursons et Licornes sont en guerre depuis toujours. Le soldat Célestin a soif du sang des Licornes, gage d’une beauté éternelle, selon le Grand Livre Sacré. Son frère Dodu, lui, n’aime pas la guerre, il préfère les myrtilles et les câlins. Mais la bataille finale approche : une unité d’oursons inexpérimentés quitte le camp d’entraînement pour une mission commando dans la Forêt Magique. Seront-ils à la hauteur ?",5 340
Les Cadors,11/01/2023,,85.0,Julien Guetta, Jour2fête ,"Grégoire Ludig,Jean-Paul Rouve,Michel Blanc",,,Français,Long-métrage,2022,-,"3,0","2,7",15 articles de presse,,"L’histoire de deux frères que tout oppose. Antoine, marié, deux enfants, conducteur de bateaux, et Christian, célibataire, chômeur et bagarreur incorrigible. Mais quand Antoine le mari idéal se retrouve mêlé à une sale histoire, c’est Christian le mal aimé qui, même si on ne lui a rien demandé, débarque à Cherbourg pour voler à son secours. Les Cadors comme ils aimaient se surnommer dans leur enfance vont se redécouvrir au travers de cette histoire. Christian qui n’a rien à perdre, va alors défendre au péril de sa vie cette famille qu’il a toujours rêvé d’avoir sans jamais avoir eu le courage de la fonder.",51 550
Règle 34,07/06/2023,Erotique,100.0,Júlia Murat, Wayna Pitch ,"Sol Miranda (II),Lucas Andrade,Lorena Comparato",Rule 34,"Brésil,France",Portugais,Long-métrage,2022,-,"3,2","2,7",12 articles de presse,,"La légendaire règle 34 d’internet stipule que si quelque chose existe, alors il y en a une version porno. Simone est étudiante en droit le jour, engagée dans la lutte contre les violences faites aux femmes, et camgirl la nuit, explorant ses fantasmes masochistes.",513
Les Miens,23/11/2022,,85.0,Roschdy Zem, Le Pacte ,"Sami Bouajila,Roschdy Zem,Meriem Serbah",,,Français,Long-métrage,2022,-,"3,6","3,6",30 articles de presse,4 nominations,"Moussa a toujours été doux, altruiste et présent pour sa famille. À l’opposé de son frère Ryad, présentateur télé à la grande notoriété qui se voit reprocher son égoïsme par son entourage. Seul Moussa le défend, qui éprouve pour son frère une grande admiration. Un jour Moussa chute et se cogne violemment la tête. Il souffre d’un traumatisme crânien. Méconnaissable, il parle désormais sans filtre et balance à ses proches leurs quatre vérités. Il finit ainsi par se brouiller avec tout le monde, sauf avec Ryad…",98 004
16 ans,04/01/2023,Romance,94.0,Philippe Lioret, Paname Distribution ,"Sabrina Levoye,Teïlo Azaïs,Jean-Pierre Lorit",,,Français,Long-métrage,2022,-,"3,2","3,6",26 articles de presse,,"Nora et Léo se rencontrent le jour de la rentrée en classe de Seconde. Leurs regards s’enchâssent et tout est dit. Le frère de Nora, manutentionnaire à l’hypermarché local, est accusé de vol et viré sur-le-champ. Le directeur de l’hypermarché c’est Franck, le père de Léo. Les deux familles s’affrontent, les différences s’exacerbent et le chaos s’installe. Les vies de Nora et Léo s’embrasent.",41 119
Scream,12/01/2022,Thriller,115.0,Matt Bettinelli-Olpin, Paramount Pictures France ,"Neve Campbell,Courteney Cox,David Arquette",,,Anglais,Long-métrage,2022,-,"2,7","2,6",25 articles de presse,,"Vingt-cinq ans après que la paisible ville de Woodsboro a été frappée par une série de meurtres violents, un nouveau tueur revêt le masque de Ghostface et prend pour cible un groupe d'adolescents. Il est déterminé à faire ressurgir les sombres secrets du passé.",212 555
Youssef Salem a du succès,18/01/2023,,97.0,Baya Kasmi, Tandem ,"Ramzy Bedia,Noémie Lvovsky,Abbes Zahmani",,,Français,Long-métrage,2022,-,"3,6","3,6",24 articles de presse,,"Youssef Salem, 45 ans, a toujours réussi à rater sa carrière d’écrivain. Mais les ennuis commencent lorsque son nouveau roman rencontre le succès car Youssef n’a pas pu s’empêcher de s’inspirer des siens, pour le meilleur, et surtout pour le pire. Il doit maintenant éviter à tout prix que son livre ne tombe entre les mains de sa famille…",72 216
Ténor,04/05/2022,,101.0,Claude Zidi Jr., StudioCanal ,"Michèle Laroque,Mohammed Belkhir,Guillaume Duhesme",,,Français,Long-métrage,2022,-,"3,0","3,7",11 articles de presse,,"Antoine, jeune banlieusard parisien, suit des études de comptabilité sans grande conviction, partageant son temps entre les battles de rap qu’il pratique avec talent et son job de livreur de sushis. Lors d’une course à l’Opéra Garnier, sa route croise celle de Mme Loyseau, professeur de chant dans la vénérable institution, qui détecte chez Antoine un talent brut à faire éclore. Malgré son absence de culture lyrique, Antoine est fasciné par cette forme d’expression et se laisse convaincre de suivre l’enseignement de Mme Loyseau. Antoine n’a d’autre choix que de mentir à sa famille, ses amis et toute la cité pour qui l’opéra est un truc de bourgeois, loin de leur monde.",126 348
Elvis,22/06/2022,Musical,159.0,Baz Luhrmann, Warner Bros. France ,"Austin Butler,Tom Hanks,Olivia DeJonge",,,Anglais,Long-métrage,2022,-,"3,8","4,1",36 articles de presse,7 prix et 16 nominations,"La vie et l'œuvre musicale d'Elvis Presley à travers le prisme de ses rapports complexes avec son mystérieux manager, le colonel Tom Parker. Le film explorera leurs relations sur une vingtaine d'années, de l'ascension du chanteur à son statut de star inégalé, sur fond de bouleversements culturels et de la découverte par l'Amérique de la fin de l'innocence.",343 596
Moonfall,09/02/2022,Action,120.0,Roland Emmerich, Metropolitan FilmExport ,"Halle Berry,Patrick Wilson,John Bradley (II)",,,Anglais,Long-métrage,2022,$ 136 000 000,"2,3","2,1",18 articles de presse,,"Une mystérieuse force a propulsé la Lune hors de son orbite et la précipite vers la Terre. L’impact aura lieu dans quelques semaines, impliquant l’anéantissement de toute vie sur notre planète. Deux astronautes de la NASA et un théoricien du complot unissent leurs forces pour tenter une mission impossible dans l’espace… et découvrir que notre Lune n’est pas ce que nous croyons.",207 212
Le Tourbillon de la vie,21/12/2022,,121.0,Olivier Treiner, SND ,"Lou de Laâge,Raphaël Personnaz,Isabelle Carré",,,Français,Long-métrage,2022,-,"3,3","3,9",8 articles de presse,,"Les grands tournants de notre existence sont parfois dus à de petits hasards. Si Julia n’avait pas fait tomber son livre ce jour-là, aurait-elle croisé Paul ? Ou sa vie aurait-elle pris une toute autre direction ?",64 039
