titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
Les Croods 2 : une nouvelle ère,07/07/2021,"Aventure,Famille,Comédie",96.0,Joel Crawford, Universal Pictures International France ,"Nicolas Cage,Ryan Reynolds,Emma Stone",The Croods: A New Age,,Anglais,Long-métrage,2020,-,"3,5","3,3",70 Critiques Spectateurs,,Les Croods ont survécu à leur part de dangers et de catastrophes mais ils vont maintenant devoir relever leur plus grand défi : rencontrer une autre famille.,288 149
Tempura,20/07/2022,"Drame,Romance",133.0,Akiko Ohku, Art House ," Non,Kento Hayashi,Ai Hashimoto",Hold me Back,,Japonais,Long-métrage,2020,-,"3,5","3,4",12 articles de presse,,"Depuis toujours, Mitsuko vit dans sa bulle. Au cœur d’un Tokyo trop grand pour elle, elle se consacre avec passion à des recettes de cuisine qu’elle peaufine de son petit appartement. En célibataire épanouie, elle se fixe chaque jour de nouveaux défis jusqu’à celui inédit… d’inviter un garçon à dîner !",15 217
Le Dernier voyage,19/05/2021,"Aventure,Drame",87.0,Romain Quirot, Tandem ,"Hugo Becker,Jean Reno,Paul Hamy",,,Français,Long-métrage,2020,-,"2,9","2,4",18 articles de presse,,"Dans un futur proche, une mystérieuse lune rouge est exploitée à outrance pour son énergie. Alors qu’elle change brusquement de trajectoire et fonce droit sur la Terre, Paul W.R, le seul astronaute capable de la détruire, refuse d’accomplir cette mission et disparaît. Traqué sans relâche, Paul croise la route d’Elma, une adolescente au tempérament explosif qui va l'accompagner dans sa fuite.",18 373
La Pièce rapportée,01/12/2021,,86.0,Antonin Peretjatko, Diaphana Distribution ,"Anaïs Demoustier,Josiane Balasko,Philippe Katerine",,,Français,Long-métrage,2020,"3,3 M€","3,2","2,3",20 articles de presse,2 nominations,"Paul Château-Têtard, vieux garçon de 45 ans et pur produit du 16e arrondissement de Paris, prend le métro pour la première fois de sa vie et tombe amoureux d’une jeune guichetière, Ava.",26 288
Nitram,11/05/2022,Thriller,110.0,Justin Kurzel, Ad Vitam ,"Caleb Landry Jones,Essie Davis,Judy Davis",,,Anglais,Long-métrage,2020,-,"3,3","3,6",29 articles de presse,1 prix et 12 nominations,"En Australie dans le milieu des années 90, Nitram vit chez ses parents, où le temps s’écoule entre solitude et frustration. Alors qu'il propose ses services comme jardinier, il rencontre Helen, une héritière marginale qui vit seule avec ses animaux. Ensemble, ils se construisent une vie à part. Quand Helen disparaît tragiquement, la colère et la solitude de Nitram ressurgissent. Commence alors une longue descente qui va le mener au pire.",10 078
La Baleine et l'escargote,21/10/2020,Famille,40.0,Max Lang, Les Films du Préau ,"Colette Sodoyez,Diana Rigg,Maia Baran",The Snail and The Whale,"Grande-Bretagne,République tchèque,Suisse",Anglais,Long-métrage,2020,-,"3,8","3,7",10 Critiques Spectateurs,,,40 156
Hokusai,26/04/2023,"Biopic,Historique",90.0,Hajime Hashimoto, Art House ,"Yûya Yagira,Min Tanaka,Hiroshi Abe",,,Japonais,Long-métrage,2020,-,"3,2","3,3",23 articles de presse,,"Japon, XVIIIème siècle. Alors que le pouvoir impérial impose sa censure sur les artistes, le jeune Shunrô, apprenti peintre, est exclu de son école à cause de son tempérament impétueux et du style peu conventionnel de ses estampes. Personne n’imagine alors qu’il deviendra Hokusai, célèbre auteur de la Grande vague de Kanagawa.",52 791
The Gentlemen,05/02/2020,Action,113.0,Guy Ritchie, SND ,"Matthew McConaughey,Hugh Grant,Charlie Hunnam",,,Anglais,Long-métrage,2020,-,"3,5","4,1",33 articles de presse,,"Quand Mickey Pearson, baron de la drogue à Londres, laisse entendre qu’il pourrait se retirer du marché, il déclenche une guerre explosive : la capitale anglaise devient le théâtre de tous les chantages, complots, trahisons, corruptions et enlèvements… Dans cette jungle où l’on ne distingue plus ses alliés de ses ennemis, il n’y a de la place que pour un seul roi !",238 040
Tenet,26/08/2020,Science fiction,150.0,Christopher Nolan, Warner Bros. France ,"John David Washington,Kenneth Branagh,Robert Pattinson",,,Anglais,Long-métrage,2020,-,"3,6","3,7",39 articles de presse,2 prix et 2 nominations,"Muni d'un seul mot – Tenet – et décidé à se battre pour sauver le monde, notre protagoniste sillonne l'univers crépusculaire de l'espionnage international. Sa mission le projettera dans une dimension qui dépasse le temps. Pourtant, il ne s'agit pas d'un voyage dans le temps, mais d'un renversement temporel…",948 378
À l’abordage,21/07/2021,,95.0,Guillaume Brac, Arte ,"Éric Nantchouang,Salif Cissé,Édouard Sulpice",,,Français,Long-métrage,2020,-,"3,9","3,8",22 articles de presse,4 prix et 1 nomination,"Paris, un soir au mois d'août. Un garçon rencontre une fille. Ils ont le même âge, mais n'appartiennent pas au même monde. Félix travaille, Alma part en vacances le lendemain. Qu'à cela ne tienne. Félix décide de rejoindre Alma à l'autre bout de la France. Par surprise. Il embarque son ami Chérif, parce qu'à deux c'est plus drôle. Et comme ils n'ont pas de voiture, ils font le voyage avec Edouard. Evidemment, rien ne se passe comme prévu. Peut-il en être autrement quand on prend ses rêves pour la réalité ?",5 612
Tout Simplement Noir,08/07/2020,,90.0,Jean-Pascal Zadi, Gaumont Distribution ,"Jean-Pascal Zadi,Caroline Anglade, Fary",,,Français,Long-métrage,2020,-,"3,8","2,8",32 articles de presse,1 prix et 3 nominations,"JP, un acteur raté de 40 ans, décide d’organiser la première grosse marche de contestation noire en France, mais ses rencontres, souvent burlesques, avec des personnalités influentes de la communauté et le soutien intéressé qu’il reçoit de Fary, le font osciller entre envie d’être sur le devant de la scène et véritable engagement militant...",255 537
Louxor,21/07/2021,Romance,86.0,Zeina Durra, Rezo Films ,"Andrea Riseborough,Michael Landes,Sherine Reda",Luxor,"Egypte,Grande-Bretagne,Emirats Arabes Unis","Anglais, Arabe",Long-métrage,2020,-,"2,9","2,6",9 articles de presse,,"Quand Hana, britannique qui travaille dans l’humanitaire, revient à Louxor, elle croise Sultan, archéologue de talent et ancien amant. Alors qu’elle erre dans cette vieille ville, hantée par les souvenirs familiers, elle s’efforce de concilier choix du passé et incertitude du présent.",3 597
Sentinelle sud,27/04/2022,Thriller,96.0,Mathieu Gerault, UFO Distribution ,"Niels Schneider,Sofian Khammes,India Hair",,,Français,Long-métrage,2020,"1,9M€","3,4","3,5",25 articles de presse,,"Aux lendemains d’une opération clandestine qui a décimé son unité, le soldat Christian Lafayette est de retour en France. Alors qu’il essaie de reprendre une vie normale, il est bientôt mêlé à un trafic d’opium pour sauver ses deux frères d’armes survivants. La mission dont ils sont les seuls à être revenus n’était peut-être pas celle qu’ils croyaient…",12 440
Terrible Jungle,29/07/2020,Comédie,91.0,Hugo Benamozig, Apollo Films ,"Catherine Deneuve,Vincent Dedienne,Alice Belaïdi",,,Français,Long-métrage,2020,-,"3,7","2,0",18 articles de presse,4 nominations,"Eliott, anthropologue un peu naïf, s'enfonce dans la jungle guyanaise pour étudier les Otopis. Ils découvre une tribu de brigands de mèche avec des trafiquants d'or, très éloignée de ce qu'il imaginait. Pendant ce temps, sa mère, Chantal de Bellabre, femme tyrannique et possessive, trouve que son fils met trop de temps à rentrer et décide de le rejoindre. Avec le peloton de gendarmerie local, dirigé par l'incapable lieutenant-colonel François-Yves Raspaillès, elle organise une expédition pour retrouver Eliott.",83 427
