titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
The Emigrants,,,148,Erik Poppe,,"Lisa Carlehed,Gustaf Skarsgård,Liv Ullmann",,"Suède,Danemark,Norvège",Suédois,Long-métrage,2022,-,"2,9",,2 Critiques Spectateurs,,
Vers de nouveaux horizons,,,88,Nikolaus Leytner,,"Maria Hofstätter,Leonard Stirsky Hädler,Miriam Fussenegger",Landkrimi: Zu neuen Ufern,"Autriche,Allemagne,République tchèque",Allemand,Long-métrage,2022,-,"2,6",,2 Critiques Spectateurs,,"En Haute-Autriche, la jeune Johanna, fraîchement sortie de l’école de police, se tue en tombant d’une falaise lors d’une descente dans une ancienne carrière où se tient une fête illégale. Dans la nuit noire, personne n’a vu ce qui s’est passé. Si les membres de son unité n’y voient qu’un tragique accident, Stani, gardien de la paix du côté tchèque et petit ami de la victime, met en doute cette version. Quand un jeune dealer que Johanna avait appréhendé ce soir-là est retrouvé mort d’une overdose, Stani ne croit plus en une coïncidence. Désemparé, il fait appel à l’ancienne commissaire Grete Öller, dont Johanna était la filleule : avec l’aide de la fringante retraitée, qui n’a rien perdu de ses réflexes, il se lance dans une enquête parallèle qui pourrait bien incriminer des membres de la police locale des deux côtés de la frontière… Après La mort en héritage, Maria Hofstätter endosse à nouveau le rôle de la pugnace Grete Öller, dans un polar rural haut en couleur."
"La mode, l'amour et moi",,Comédie,85,Ken Friss,,"Cristina Rosato,Victor Zinck Jr.,Sarah Giles","Love, Fashion, Repeat",,"Anglais, Italien, Français",Télefilm,2022,-,,,,,"Lorsque Lisa Holt retourne dans sa ville natale pour trouver l'inspiration pour sa nouvelle collection, elle a suffisamment de pain sur la planche entre ça et aider sa meilleure amie pour son premier enfant. Alors quand elle rencontre Colin, un séduisant écrivain chargé de corriger sa biographie encore non-publiée, l'amour est la dernière chose qu'elle a en tête. Lisa doit trouver une façon de faire tout fonctionner selon le plan, mais trouvera-t-elle le temps pour une romance inattendue ?"
Diabolik 2,,,,Antonio Manetti, Metropolitan FilmExport ,"Luca Marinelli,Miriam Leone,Valerio Mastandrea",,,Italien,Long-métrage,2022,-,"2,7",,1 Critique Spectateur,,"Etat de Clerville, dans les années 1960. L’inspecteur Ginko cherche désespérément à arrêter Diabolik, l’impitoyable voleur masqué qui ne cesse de narguer les forces de l’ordre. Lorsque Lady Kant, une veuve dont le mari est mort dans des circonstances troubles, arrive en ville avec un collier inestimable, Ginko est persuadé que Diabolik ne pourra résister à la tentation de s’emparer du bijou. Mais qui sait la magnétique Lady Kant ne cherche justement pas à susciter la convoitise du dangereux criminel ? Découvrez l’adaptation cinéma de la célèbre bande dessinée italienne dans un univers rétro pop"
Très belle journée,06/05/2022,,75,Patrice Laliberté,,"Guillaume Laurin,Sarah-Jeanne Labrosse,Marc Beaupré",,,Français,Long-métrage,2022,-,"2,5",,1 Critique Spectateur,,"Jérémie, coursier à vélo livrant des colis anonymes, mène une vie rigide et solitaire au cœur de Montréal. L'arrivée de sa nouvelle voisine chamboulera son quotidien, entraînant de nombreuses conséquences."
The Devil You Know,,,,Charles Murray (II),,"Omar Epps,Michael Ealy,William Catlett",,,Anglais,Long-métrage,2022,-,"2,6",,2 Critiques Spectateurs,,"Après une vie d'ennuis, Marcus Cowans a enfin la possibilité de changer les choses grâce à l'amour et au soutien de sa famille. Quand Marcus découvre que l'un de ses trois frères pourrait être impliqué dans une affaire de violation de domicile, il se retrouve non seulement en désaccord avec ses frères, mais aussi dans la ligne de mire d'un flic qui est profondément impliqué dans sa dernière enquête avant sa retraite."
Echo,01/01/2020,,79,Rúnar Rúnarsson, Jour2fête ,"Bjarki Thor,Ragnar Jónsson,Sigurmar Albertsson",,"Islande,France",Islandais,Long-métrage,2022,-,"2,7","3,2",12 articles de presse,,"En Islande, alors que tout le monde se prépare pour les fêtes de Noël, une ambiance particulière s’empare du pays. Entre exaltation et inquiétude,"
Beavis and Butt-Head Do the Universe,,Comédie,87,Mike Judge,,Mike Judge,,,Anglais,Long-métrage,2022,-,"3,6",,,,"Beavis et Butt-Head, les deux sales gosses de la télévision américaine imaginés par Mike Judge dans les années 1990, seront les héros d'un long-métrage, diffusé sur Paramount +. En 2021, ils n'ont pas changé d'un poil, arborent toujours un t-shirt Metallica (Beavis) et AC/DC (Butt-Head) et semblent toujours aussi immatures."
Violence Action,,Drame,111,Tôichirô Rutô,,"Kanna Hashimoto,Fumika Baba,Shunsuke Daitô",The Violence Action,,Japonais,Long-métrage,2022,-,"2,1",,3 Critiques Spectateurs,,"Étudiante douce et ordinaire le jour, elle se transforme en véritable tueuse la nuit. Elle est d'ailleurs sur le point d'affronter sa cible la plus difficile à ce jour."
Toujours plus beau,,Romance,113,Claudio Norza,,"Ludovica Francesconi,Giancarlo Commare,Jenny De Nucci",Sempre più bello,,Italien,Long-métrage,2022,-,"2,2",,3 Critiques Spectateurs,,"La vie de Marta ne tient qu'à un fil après son opération, mais le grand amour n'est pas loin. Le cœur l'emportera-t-il sur les secrets enfouis et les caprices du destin ?"
