titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Une merveilleuse histoire du temps,21/01/2015,Drame,123,James Marsh, Universal Pictures International France ,"Eddie Redmayne,Felicity Jones,Tom Prior",The Theory of Everything,,"Anglais, Français",Long-métrage,2014,-,"3,3","4,2",27 articles de presse,7 prix et 16 nominations,"1963, en Angleterre, Stephen, brillant étudiant en Cosmologie à l’Université de Cambridge, entend bien donner une réponse simple et efficace au mystère de la création de l’univers. De nouveaux horizons s’ouvrent quand il tombe amoureux d’une étudiante en art, Jane Wilde. Mais le jeune homme, alors dans la fleur de l’âge, se heurte à un diagnostic implacable : une dystrophie neuromusculaire plus connue sous le nom de maladie de Charcot va s’attaquer à ses membres, sa motricité, et son élocution, et finira par le tuer en l’espace de deux ans."
Le Gouffre aux chimères,09/04/1952,,111,Billy Wilder, Swashbuckler Films ,"Kirk Douglas,Jan Sterling,Porter Hall",Ace in the Hole,,Anglais,Long-métrage,1951,1 821 052 $,"4,3","4,2",3 articles de presse,,"Charles Tatum, journaliste sans scrupules, va exploiter un scoop. Au Nouveau-Mexique, Léo Minosa, un Indien, est coincé au fond d'une galerie effondrée. S'arrangeant pour être le seul journaliste sur le coup, il va persuader le shérif de choisir la formule de sauvetage la plus lente. Tatum va devenir l'amant de la femme de la victime et poussera l'hypocrisie jusqu’à devenir l'ami de Léo."
Pupille,05/12/2018,,110,Jeanne Herry, StudioCanal ,"Sandrine Kiberlain,Gilles Lellouche,Élodie Bouchez",,"France,Belgique",Français,Long-métrage,2018,-,"4,3","4,2",29 articles de presse,1 prix et 10 nominations,"Théo est remis à l'adoption par sa mère biologique le jour de sa naissance. C'est un accouchement sous X. La mère à deux mois pour revenir sur sa décision...ou pas. Les services de l'aide sociale à l'enfance et le service adoption se mettent en mouvement. Les uns doivent s'occuper du bébé, le porter (au sens plein du terme) dans ce temps suspendu, cette phase d'incertitude. Les autres doivent trouver celle qui deviendra sa mère adoptante. Elle s'appelle Alice et cela fait dix ans qu'elle se bat pour avoir un enfant. PUPILLE est l'histoire de la rencontre entre Alice, 41 ans, et Théo, trois mois."
Lawrence d'Arabie,15/03/1963,Biopic,216,David Lean, Park Circus France ,"Peter O'Toole,Alec Guinness,Omar Sharif",Lawrence of Arabia,"Grande-Bretagne,U.S.A.","Anglais, Arabe, Turc",Long-métrage,1962,15 000 000 $,"4,4","4,2",5 articles de presse,11 prix et 6 nominations,
Un Condamné à mort s'est échappé,,,99,Robert Bresson, Les Acacias ,"François Leterrier,Charles Le Clainche,Maurice Beerblock",,,"Français, Allemand",Long-métrage,1956,-,"4,2",,62 Critiques Spectateurs,1 prix et 4 nominations,"Conduit en 1943 au fort de Montluc pour y être exécuté par les Allemands, le lieutenant Fontaine parvient à s'échapper en compagnie d'un autre prisonnier, Jost."
Le Loup de Wall Street,25/12/2013,Drame,179,Martin Scorsese, Metropolitan FilmExport ,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",The Wolf Of Wall Street,,Anglais,Long-métrage,2013,100 000 000 $,"4,0","4,2",24 articles de presse,1 prix et 13 nominations,
Ordet,28/09/1955,,126,Carl Theodor Dreyer, Capricci Films ,"Henrik Malberg,Emil Hass Christensen,Preben Lerdorff Rye",,,Danois,Long-métrage,1955,-,"4,3",,37 Critiques Spectateurs,2 prix et 2 nominations,"En 1930, dans un village du Jutland, des discordes religieuses surviennent entre deux familles lorsqu'il est question d'unir par le mariage deux de leurs enfants."
Slumdog Millionaire,14/01/2009,"Comédie,Romance",120,Loveleen Tandan, Pathé ,"Dev Patel,Freida Pinto,Mia Drake",,"U.S.A.,Grande-Bretagne","Anglais, Hindi",Long-métrage,2008,15 000 000 $,"3,5","4,3",26 articles de presse,26 prix et 19 nominations,"Jamal Malik, 18 ans, orphelin vivant dans les taudis de Mumbai, est sur le point de remporter la somme colossale de 20 millions de roupies lors de la version indienne de l'émission"
Impitoyable,12/09/1992,Drame,131,Clint Eastwood, Warner Bros. France ,"Clint Eastwood,Gene Hackman,Morgan Freeman",Unforgiven,,Anglais,Long-métrage,1992,14 400 000 $,"4,8","4,2",5 articles de presse,7 prix et 13 nominations,"Kansas 1880. William Munny, redoutable hors-la-loi reconverti dans l'élevage va, à la demande d'un jeune tueur, reprendre du service pour venger une prostituée défigurée par un cow-boy sadique."
Eternal Sunshine of the Spotless Mind,06/10/2004,"Drame,Comédie",108,Michel Gondry, United International Pictures (UIP) ,"Jim Carrey,Kate Winslet,Kirsten Dunst",,,Anglais,Long-métrage,2004,20 000 000 $,"4,0","4,2",20 articles de presse,4 prix et 14 nominations,"Joel et Clementine ne voient plus que les mauvais côtés de leur tumultueuse histoire d'amour, au point que celle-ci fait effacer de sa mémoire toute trace de cette relation. Effondré, Joel contacte l'inventeur du procédé Lacuna, le Dr. Mierzwiak, pour qu'il extirpe également de sa mémoire tout ce qui le rattachait à Clementine. Deux techniciens, Stan et Patrick, s'installent à son domicile et se mettent à l'oeuvre, en présence de la secrétaire, Mary. Les souvenirs commencent à défiler dans la tête de Joel, des plus récents aux plus"
