title,boxoffice
De nos frères blessés,24 444
"Mia et moi, L’Héroïne de Centopia",42 006
Sous les étoiles de Paris,7 734
L'Etreinte,10 544
Hors du monde,40
Sweat,8 396
Je tremble ô Matador,5 652
Sorcière,64 911
Vous ne désirez que moi,22 526
Monday,18 767
Les Amants sacrifiés,27 949
Crisis,190 649
Jumbo,4 793
Mainstream,19 745
Days,1 956
The Rental,45 458
De bas étage,4 981
All My Life,36
Crescendo,5 161
Éléonore,20 445
Psycho Goreman,40 366
Mon année à New York,28 851
Gretel And Hansel,6 154 007
My Hero Academia: Heroes Rising,5 796 862
Un endroit comme un autre,5 698
Koati,39 343
L'Homme de l'Eau,181 046
Le Procès de l'herboriste,17 917
Villa Caprice,67 576
Les Sans-dents,8 798
À La Folie,1 150
Mon légionnaire,19 728
Freaky,33 783
"Billie Holiday, une affaire d'état",39 905
Si demain,174
L'Ennemi,6 436
Bob l'éponge - Le film : Éponge en eaux troubles,345 000
Bloody Hell,13 144
Méandre,35 961
Come Play,3 150 000
200 mètres,5 684
Les Mal-aimés,4 986
Irresistible,9 006
Les Mystères de Barcelone,2 581
Never Rarely Sometimes Always,10 535
Souterrain,286
United fight,15 938
Un fils du sud,9 703
Le Pardon,9 944
After Love,11 721
Algunas bestias,99
Les Bouchetrous,71 419
The Souvenir - Part II,6 007
Cigare au miel,4 201
Chers camarades !,9 240
French Exit,174 378
Malmkrog,1 775
True Mothers,11 839
Hunter Hunter,12 010
Le Dernier Piano,3 821
La Voix du succès,22 418
Petite Solange,8 711
The Turning,6 950 045
Louloute,11 005
Digger,1 524
Kajillionaire,15 401
Ma mère est un gorille (et alors?),5 076
Blackbird,47 384
Vanille,6 401
Wendy,8 414
Chère Léa,24 517
Sous le ciel d’Alice,13 219
L'Enfant rêvé,30 218
Freda,11 074
Marché noir,1 364
Le Sel des larmes,5 416
Berlin Alexanderplatz,2 908
Summertime,4 405
Si le vent tombe,8 632
Envol,66
Las niñas,5 990
Un soupçon d'amour,2 317
Storia di vacanze,2 986
Vent chaud,1 033
Gaza Mon Amour,15 130
Les Aventures d'un mathématicien,2 047
"Nadia, Butterfly",105
Bill & Ted Face The Music,773 108
Conférence,559
Maudit!,497
Les Graines que l'on sème,859
Wolfy ! Et les loups en délire,4 969
Le Noël de petit lièvre brun,8 192
Last Words,4 297
Psycho,555
The Photograph,12 181 865
Et il y eut un matin,9 743
Le Quatuor à cornes Là-haut sur la montagne,12 670
Miss Marx,1 651
Monster Family : en route pour l'aventure !,21 493
Les Enfants du soleil,2 044
La Femme qui s’est enfuie,10 464
La Chouette en toque,11 185
Zébulon le dragon et les médecins volants,14 300
L'Oubli que nous serons,8 267
Grandir c’est chouette !,15 835
Four Good Days,298 358
100% loup,14 488
Oups ! J’ai encore raté l’arche…,37 007
Jean-Michel le caribou et les histoires d'amour interdites,12 904
Messe basse,1 385
Dream Horse,7 368
Adiós entusiasmo,88
Petite soeur,5 741
Moneyboys,8 223
Poppy Field,1 436
De l’or pour les chiens,2 612
Mush-Mush et le petit monde de la forêt,2 525
The Broken Hearts Gallery,1 125 000
Laila in Haifa,4 920
Walden,556
Grand frère,414
Residue,1 105
Archenemy,5 638
Théo et les métamorphoses,969
My Kid,4 244
Les Travaux et les Jours - Partie 1,840
Au crépuscule,3 482
"L'Equipe de secours, en route pour l'aventure !",2 351
Los Fuertes,1 715
On-Gaku : Notre Rock !,1 007
Atarrabi et Mikelats,2 163
Balades sous les étoiles,5 035
La Verónica,2 767
Au commencement,180
Nana et les filles du bord de mer,320
Radhe,196
The Cloud in Her Room,1 045
Any Day Now,299
La Jungle est mon jardin,101
Le Prince Serpent,123
Goodbye Mister Wong,814
Una Promessa,4 771
L’ Indomptable feu du printemps,1 874
White Building,2 315
Les Sentiers de l'oubli,395
Street Dancer 3,500
En attendant la neige,4 431
Half Brothers,720 000
L'Ordre moral,2 014
Buladó,1 052
Sweet Thing,2 213
Like a Boss,10 011 272
Memory House,125
Sapphire Crystal,214
Careless Crime,97
Summer White,783
Sème le vent,1 905
Tanhaji,380
Darbar,1 559
Irmã,4
Laissons les morts engloutir les morts,154
Le Voyage d'Ana,108
Oskar et Lily,1 324
Shubh Mangal Zyada Saavdhan,233
Adieu venus,48
La Mort du cinéma et de mon père aussi,793
Nos liens,12
"Euridice, là-bas...",100
Angrezi Medium,36
Emerald Run,163 178
Mafia: Chapter 1,840
Ik Sandhu Hunda Si,54
American Traitor: The Trial of Axis Sally,0
Holler,12 026
Impractical Jokers: The Movie,3 545 000
The Paper Tigers,46 615
Indiana Jones et le Cadran de la Destinée,1 089 875
Vers un avenir radieux,91 786
Insidious: The Red Door,306 107
The Flash,388 700
Il Boemo,34 803
Spider-Man : Across The Spider-Verse,550 808
Miraculous - le film,660 421
À contretemps,28 720
Une nuit,58 679
Farang,79 426
Élémentaire,426 818
Mission: Impossible – Dead Reckoning Partie 1,930 141
Asteroid City,117 498
