titre,date,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Le Retour,12/07/2023,106,Catherine Corsini, Le Pacte ,"Aïssatou Diallo Sagna,Suzy Bemba,Esther Gohourou",, France,Français,Long-métrage,2023,"4,7 M€","3,0","3,4",28 articles de presse,5 nominations,"Khédidja travaille pour une famille parisienne aisée qui lui propose de s'occuper des enfants le temps d’un été en Corse. L'opportunité pour elle de retourner avec ses filles, Jessica et Farah, sur cette île qu'elles ont quittée quinze ans plus tôt dans des circonstances tragiques."
Petit Jésus,12/07/2023,95,Julien Rigoulot, Wild Bunch Distribution ,"Antoine Bertrand,Esteban Azuara Eymard,Gérard Darmon",, France,Français,Long-métrage,2023,"3,1 M€","2,7","3,1",14 articles de presse,,"Jean, père récemment séparé, enchaîne les galères…"
Joy Ride,05/07/2023,92,Adele Lim, Metropolitan FilmExport ,"Stephanie Hsu,Ashley Park,Sherry Cola",, U.S.A.,Anglais,Long-métrage,2023,-,"2,7",,19 Critiques Spectateurs,,"Audrey demande à son amie d’enfance Lolo, à son ancienne coloc Kat devenue star de feuilletons chinois et à Deux de Tens’ l’excentrique cousine de Lolo de l’accompagner en Chine à la recherche de sa mère biologique. Mais leur voyage se transforme en la plus dingue des expériences durant laquelle les jeunes femmes vont enchaîner les galères !"
Oppenheimer,19/07/2023,181,Christopher Nolan, Universal Pictures International France ,"Cillian Murphy,Emily Blunt,Matt Damon",, U.S.A.,Anglais,Long-métrage,2023,-,"3,8","4,4",30 articles de presse,,"En 1942, convaincus que l’Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le ""Projet Manhattan"" destiné à mettre au point la première bombe atomique de l’histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien, qui sera bientôt surnommé ""le père de la bombe atomique"". C’est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point une arme révolutionnaire dont les conséquences, vertigineuses, continuent de peser sur le monde actuel…"
Vers un avenir radieux,28/06/2023,95,Nanni Moretti, Le Pacte ,"Nanni Moretti,Margherita Buy,Silvio Orlando",Il sol dell’avvenire, Italie,Italien,Long-métrage,2023,-,"3,9","3,3",26 articles de presse,5 nominations,"Giovanni, cinéaste italien renommé, s’apprête à tourner son nouveau film. Mais entre son couple en crise, son producteur français au bord de la faillite et sa fille qui le délaisse, tout semble jouer contre lui ! Toujours sur la corde raide, Giovanni va devoir repenser sa manière de faire s’il veut mener tout son petit monde vers un avenir radieux."
Asteroid City,21/06/2023,106,Wes Anderson, Universal Pictures International France ,"Jason Schwartzman,Scarlett Johansson,Tom Hanks",, U.S.A.,Anglais,Long-métrage,2023,-,"3,3","3,0",38 articles de presse,5 nominations,
Astérix et Obélix : Mission Cléopâtre,30/01/2002,112,Alain Chabat, Pathé ,"Gérard Depardieu,Christian Clavier,Jamel Debbouze",, France,Français,Long-métrage,2001,50 300 000 €,"3,8","4,1",16 articles de presse,1 prix et 2 nominations,"Cléopâtre, la reine d’Égypte, décide, pour défier l'Empereur romain Jules César, de construire en trois mois un palais somptueux en plein désert. Si elle y parvient, celui-ci devra concéder publiquement que le peuple égyptien est le plus grand de tous les peuples. Pour ce faire, Cléopâtre fait appel à Numérobis, un architecte d'avant-garde plein d'énergie. S'il réussit, elle le couvrira d'or. S'il échoue, elle le jettera aux crocodiles."
La Maison du mal,19/07/2023,88,Samuel Bodin, Metropolitan FilmExport ,"Lizzy Caplan,Antony Starr,Cleopatra Coleman",Cobweb, U.S.A.,Anglais,Long-métrage,2023,-,"2,0","2,8",3 articles de presse,,"Peter, âgé de huit ans, est tourmenté par un bruit mystérieux et incessant de tapotement provenant du mur de sa chambre – mais ses parents affirment que ce n’est que le fruit de son imagination. À mesure que sa peur s'intensifie, Peter se persuade que ses parents lui cachent un terrible secret et perd toute confiance en eux, ce qui ne fait qu’accroître son angoisse et ses terreurs..."
Les Herbes sèches,12/07/2023,197,Nuri Bilge Ceylan, Memento Distribution ,"Deniz Celiloğlu,Merve Dizdar,Musab Ekici",Kuru Otlar Üstüne, Turquie,Turc,Long-métrage,2023,-,"4,0","4,0",29 articles de presse,1 prix et 5 nominations,
Rendez-vous à Tokyo,26/07/2023,115,Daigo Matsui, Art House ,"Sosuke Ikematsu,Sairi Itô,Yumi Kawai",Just Remembering, Japon,Japonais,Long-métrage,2021,-,"3,3","3,4",18 articles de presse,,"Les 26 juillet se suivent et ne se ressemblent pas… C’est le jour où ils se sont rencontrés, celui où ils se sont aimés, où ils se sont séparés. Sept rendez-vous entre un danseur professionnel et une conductrice de taxi dans le Tokyo d’aujourd’hui."
Les Algues vertes,12/07/2023,107,Pierre Jolivet, Haut et Court ,"Céline Sallette,Nina Meurisse,Julie Ferrier",, France,Français,Long-métrage,2023,"3,7 M€","3,5","4,1",23 articles de presse,,"À la suite de morts suspectes, Inès Léraud, jeune journaliste, décide de s’installer en Bretagne pour enquêter sur le phénomène des algues vertes. À travers ses rencontres, elle découvre la fabrique du silence qui entoure ce désastre écologique et social. Face aux pressions, parviendra-t-elle à faire triompher la vérité ?"
Insidious: The Red Door,05/07/2023,108,Patrick Wilson, Sony Pictures Releasing France ,"Patrick Wilson,Rose Byrne,Ty Simpkins",, U.S.A.,Anglais,Long-métrage,2023,-,"2,1","2,2",8 articles de presse,,"Afin de se débarrasser définitivement de leurs démons, Josh et son fils Dalton, à présent étudiant, doivent plonger encore plus profondément dans le Lointain pour affronter le sombre passé de leur famille et une multitude d'esprits toujours plus inquiétants qui se cache derrière la Porte Rouge."
Spider-Man : Across The Spider-Verse,31/05/2023,141,Joaquim Dos Santos, Sony Pictures Releasing France ,"Stéphane Bak,Shameik Moore,Shirine Boutella",Spider-Man: Across The Spider-Verse, U.S.A.,Anglais,Long-métrage,2023,-,"4,1","4,5",592 Critiques Spectateurs,,"Après avoir retrouvé Gwen Stacy, Spider-Man, le sympathique héros originaire de Brooklyn, est catapulté à travers le Multivers, où il rencontre une équipe de Spider-Héros chargée d'en protéger l'existence. Mais lorsque les héros s'opposent sur la façon de gérer une nouvelle menace, Miles se retrouve confronté à eux et doit redéfinir ce que signifie être un héros afin de sauver les personnes qu'il aime le plus."
La Main,26/07/2023,94,Danny Philippou, SND ,"Sophie Wilde,Joe Bird,Alexandra Jensen",Talk To Me, Australie,Anglais,Long-métrage,2023,-,"3,1","3,1",20 articles de presse,,"Lorsqu'un groupe d'amis découvre comment conjurer les esprits à l'aide d'une mystérieuse main hantée, ils deviennent accros à ce nouveau frisson, et l’expérience fait le tour des réseaux sociaux. Une seule règle à respecter : ils ne doivent pas tenir la main plus de 90 secondes. Lorsque l’un d’entre eux l’enfreint, ils vont être rattrapés par les esprits, les obligeant à choisir : à qui se fier, aux morts ou aux vivants ?"
Miraculous - le film,05/07/2023,99,Jeremy Zag, SND ,"Anouck Hautbois,Benjamin Bollen,Antoine Tomé",, France,Français,Long-métrage,2023,-,"2,7","2,7",405 Critiques Spectateurs,,"La super-héroïne, qui a conquis le cœur de millions de fans à travers le monde, débarque pour la première fois au cinéma ! Ladybug va devoir unir ses forces avec Chat Noir, le charismatique justicier masqué qui n’a pas sa langue dans sa poche, pour affronter le Papillon et sa horde de super-vilains, alors que ceux-ci menacent de détruire Paris. Mais, alors que les deux héros se rapprochent, Marinette ignore que derrière son mystérieux complice se cache Adrien, le camarade de classe dont elle est amoureuse…"
Mission: Impossible – Dead Reckoning Partie 1,12/07/2023,163,Christopher McQuarrie, Paramount Pictures France ,"Tom Cruise,Hayley Atwell,Ving Rhames",Mission: Impossible – Dead Reckoning Part One, U.S.A.,Anglais,Long-métrage,2023,-,"4,0","4,2",34 articles de presse,,"Dans Mission: Impossible - Dead Reckoning Partie 1, Ethan Hunt et son équipe de l’IMF se lancent dans leur mission la plus périlleuse à ce jour : traquer une effroyable nouvelle arme avant que celle-ci ne tombe entre de mauvaises mains et menace l’humanité entière."
Indiana Jones et le Cadran de la Destinée,28/06/2023,154,James Mangold, The Walt Disney Company France ,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",Indiana Jones and the Dial of Destiny, U.S.A.,Anglais,Long-métrage,2023,-,"3,5","3,6",39 articles de presse,,
Barbie,19/07/2023,115,Greta Gerwig, Warner Bros. France ,"Mckenna Roberts,Elise Gallup,Margot Robbie",, U.S.A.,Anglais,Long-métrage,2023,-,"3,5","3,3",28 articles de presse,,"A Barbie Land, vous êtes un être parfait dans un monde parfait. Sauf si vous êtes en crise existentielle, ou si vous êtes Ken."
