titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,recompenses,description,film_id_allocine
La Voix humaine,2021-03-19,Drame_Expérimental,30,Pedro Almodóvar,Pathé,"Tilda Swinton,Agustín Almodóvar,Miguel Almodóvar",Espagne,Anglais,Moyen-métrage,2020,,"Une femme regarde le temps passer à côté des valises de son ex-amant (qui est censé venir les chercher, mais n'arrive jamais) et d'un chien agité qui ne comprend pas que son maître l'ait abandonné. Deux êtres vivants face à l'abandon.",281152
Adieu ma concubine,1993-10-27,Drame_Romance,173,Chen Kaige,Carlotta Films,"Leslie Cheung, Zhang Fengyi,Lu Qi",Hong-Kong,Mandarin,Long-métrage,1993,,"Douzi et Shitou se rencontrent à l'académie de l'opéra de Pékin. Amis dès le premier jour, les deux garçons sont les acteurs principaux de l'opéra ""Adieu ma concubine"". Lors de la tournée, Douzi tombe amoureux de son ami mais celui-ci préfère les charmes de Juxian, une prostituée. Lorsque Shitou veut épouser la jeune femme, cette décision aura de sérieuses conséquences sur leur amitié.",99677
Strange Way of Life,2023-08-16,Drame_Western,31,Pedro Almodóvar,Pathé,"Pedro Pascal,Ethan Hawke,Manu Ríos",Espagne,Anglais,Moyen-métrage,2023,,,305853
Les As de la jungle 2 - Opération tour du monde,2023-08-16,Animation_Aventure_Comédie_Famille,89,Laurent Bru,SND,"Philippe Bozo,Laurent Morteau,Pascal Casanova",France,Français,Long-métrage,2023,,"Qui appelle-t-on à la rescousse quand un mystérieux super-vilain recouvre la jungle d’une mousse rose qui explose au contact de l’eau ? Les As de la Jungle ! Moins d’un mois avant la saison des pluies, la course contre la montre est lancée. Du Pôle Nord à l’Extrême-Orient, traversant des montagnes, des déserts et des océans, nos héros vont devoir parcourir le monde à la recherche d’un antidote, loin de leur jungle favorite !",309058
Blue Beetle,2023-08-16,Action_Aventure_Fantastique,127,Angel Manuel Soto,Warner Bros. France,"Xolo Maridueña,Bruna Marquezine,Susan Sarandon",U.S.A.,Anglais,Long-métrage,2023,,"Jaime Reyes est un jeune plein d’ambition. Alors qu’il rentre de l’université, le Scarabée, une ancienne relique d’une biotechnologie extraterrestre choisit de faire de lui son hôte. Ce dernier se voit alors revêtu d’une armure hors du commun qui lui octroie des pouvoirs extraordinaires – et imprévisibles. Tout bascule alors pour Jaime qui devient le super-héros Blue Beetle…",270074
Seconde jeunesse,2023-08-16,Comédie_Romance,97,Gianni Di Gregorio,Le Pacte,"Gianni Di Gregorio,Stefania Sandrelli,Alfonso Santagata",Italie,Italien,Long-métrage,2022,,"Astolfo, professeur à la retraite, doit quitter son appartement Romain, expulsé par la propriétaire. Désargenté, il décide de retourner au village de ses ancêtres, pour habiter le palais familial en ruine, vestige d'un patrimoine que chacun tente d'accaparer. Il se lie d’amitié avec le marginal qui squatte depuis des années la demeure, mais aussi avec un cuisinier retraité et un jeune sans emploi. Mais surtout, il rencontre Stefania, une femme de son âge, timide, douce et généreuse. Encouragé par ses amis, Astolfo fait un pas courageux et apprend avec joie qu’il n’est jamais trop tard pour tomber amoureux.",303915
Fermer les yeux,2023-08-16,Drame,169,Victor Erice,Haut et Court,"Manolo Solo,José Coronado,Ana Torrent",Espagne,Espagnol,Long-métrage,2023,,,311149
Reality,2023-08-16,Biopic_Drame,82,Tina Satter,Metropolitan FilmExport,"Sydney Sweeney,Josh Hamilton,Marchant Davis",U.S.A.,Anglais,Long-métrage,2023,,"Le 3 juin 2017, Reality Winner, vingt-cinq ans, est interrogée par deux agents du FBI à son domicile. Cette conversation d’apparence banale parfois surréaliste, dont chaque dialogue est tiré de l’authentique transcription de l’interrogatoire, brosse le portrait complexe d’une milléniale américaine, vétérane de l’US Air Force, professeure de yoga, qui aime les animaux, les voyages et partager des photos sur les réseaux sociaux. Pourquoi le FBI s’intéresse-t-il à elle ? Qui est vraiment Reality ?",305392
Amorosa,2023-08-09,Biopic_Drame,117,Mai Zetterling,Carlotta Films,"Stina Ekblad,Erland Josephson,Philip Zanden",Suède,Suédois,Long-métrage,1986,,"Alors que le carnaval de Venise bat son plein, un couple de Suédois se rend à l’hôpital psychiatrique. La femme est sujette à de violentes crises et réclame son « enfant », un manuscrit que son mari garde précieusement. Il s’agit de l’écrivaine Agnes von Krusenstjerna et de son époux David Spengel, avec lequel elle entretient depuis des années une relation tumultueuse. Dans son dernier livre, la jeune femme a voulu régler ses comptes avec sa famille et le milieu aristocratique dont elle est issue…",279502
Jeux de nuit,1966-09-14,Drame,105,Mai Zetterling,Carlotta Films,"Ingrid Thulin,Keve Hjelm,Lena Brundin",Suède,Suédois,Long-métrage,1966,,"En compagnie de sa fiancée Mariana, Jan retourne dans le château où il a passé son enfance. Dans ces murs hantés par la présence de ses anciens occupants, les souvenirs ressurgissent, en particulier celui de sa mère Irene, belle femme fantasque et hédoniste que le jeune garçon vénérait…",1543
Les Filles,1969-06-06,Comédie dramatique,100,Mai Zetterling,Carlotta Films,"Bibi Andersson,Harriet Andersson,Gunnel Lindblom",Suède,Suédois,Long-métrage,1968,,"Trois comédiennes, Liz, Marianne et Gunilla, partent en tournée pour jouer Lysistrata d’Aristophane. Presque deux mille ans séparent l’écriture de cette pièce de sa représentation en Suède. Pourtant, les trois interprètes trouvent en leurs personnages des échos troublants à leur propre vie…",1545
